Trans1 ,"A Beginner’s Guide,  Java: The Complete Reference,  Java For Dummies,  Android Programming: The Big Nerd Ranch "
Trans2 ,"A Beginner’s Guide,  Java: The Complete Reference,  Java For Dummies "
Trans3 ,"A Beginner’s Guide,  Java: The Complete Reference,  Java For Dummies,  Android Programming: The Big Nerd Ranch,  Head First Java 2nd Edition "
Trans4 ,"Android Programming: The Big Nerd Ranch,  Head First Java 2nd Edition , Beginning Programming with Java,  "
Trans5 ,"Android Programming: The Big Nerd Ranch,  Beginning Programming with Java,  Java 8 Pocket Guide "
Trans6 ,"A Beginner’s Guide,  Android Programming: The Big Nerd Ranch,  Head First Java 2nd Edition  "
Trans7 ,"A Beginner’s Guide,  Head First Java 2nd Edition , Beginning Programming with Java "
Trans8 ,"Java: The Complete Reference,  Java For Dummies,  Android Programming: The Big Nerd Ranch,   "
Trans9 ,"Java For Dummies,  Android Programming: The Big Nerd Ranch,  Head First Java 2nd Edition , Beginning Programming with Java,  "
Trans10 ,"Beginning Programming with Java,  Java 8 Pocket Guide,  C++ Programming in Easy Steps "
Trans11 ,"A Beginner’s Guide,  Java: The Complete Reference,  Java For Dummies,  Android Programming: The Big Nerd Ranch "
Trans12 ,"A Beginner’s Guide,  Java: The Complete Reference,  Java For Dummies,  HTML and CSS: Design and Build Websites "
Trans13 ,"A Beginner’s Guide,  Java: The Complete Reference,  Java For Dummies,  Java 8 Pocket Guide,   HTML and CSS: Design and Build Websites "
Trans14 ,"Java For Dummies,  Android Programming: The Big Nerd Ranch,  Head First Java 2nd Edition "
Trans15 ,"Java For Dummies,  Android Programming: The Big Nerd Ranch "
Trans16 ,"A Beginner’s Guide,  Java: The Complete Reference,  Java For Dummies,  Android Programming: The Big Nerd Ranch "
Trans17 ,"A Beginner’s Guide,  Java: The Complete Reference,  Java For Dummies,  Android Programming: The Big Nerd Ranch "
Trans18 ,"Head First Java 2nd Edition , Beginning Programming with Java,  Java 8 Pocket Guide "
Trans19 ,"Android Programming: The Big Nerd Ranch,  Head First Java 2nd Edition "
Trans20 ,"A Beginner’s Guide,  Java: The Complete Reference,  Java For Dummies "
